Player,Pos,Age,MP,Starts,Min,90s,Season
Thibaut Courtois\1840e36d,GK,29,52,52,4770,53,2021
Éder Militão\2784f898,DF,23,50,50,4491,49.9,2021
Vinicius Júnior\7111d552,FW,21,52,47,4253,47.3,2021
David Alaba\05439de2,DF,29,46,46,4066,45.2,2021
Casemiro\4d224fe8,MF,29,48,46,3918,43.5,2021
Karim Benzema\70d74ece,FW,33,46,45,3905,43.4,2021
Luka Modrić\6025fab1,MF,35,45,40,3416,38,2021
Toni Kroos\6ce1f46f,MF,31,45,40,3388,37.6,2021
Federico Valverde\0959c2a2,MF,23,46,29,2864,31.8,2021
Ferland Mendy\3cefcaef,DF,26,35,32,2811,31.2,2021
Dani Carvajal\4958bfb2,DF,29,36,29,2596,28.8,2021
Nacho\2946f9a1,DF,31,42,26,2551,28.3,2021
Lucas Vázquez\fd51b456,DF,30,41,26,2515,27.9,2021
Rodrygo\8f5e92a6,FW,20,48,24,2347,26.1,2021
Marco Asensio\45af8a54,FWMF,25,42,23,2140,23.8,2021
Eduardo Camavinga\7b9c2d84,MF,18,39,15,1670,18.6,2021
Eden Hazard\a39bb753,FWMF,30,23,9,909,10.1,2021
Marcelo\603116a7,DF,33,17,6,734,8.2,2021
Luka Jović\4d8cd038,FW,23,19,3,561,6.2,2021
Mariano\5c4dc0ff,FW,27,11,4,402,4.5,2021
Andriy Lunin\3061e1ec,GK,22,4,4,390,4.3,2021
Jesús Vallejo\c2111b45,DF,24,8,4,355,3.9,2021
Isco\a0b4bb3e,MFFW,29,16,2,353,3.9,2021
Dani Ceballos\c0617e2b,MF,24,18,2,352,3.9,2021
Miguel Gutiérrez\7e98cff1,DF,20,4,4,325,3.6,2021
Gareth Bale\a58bb1e1,FW,32,7,4,289,3.2,2021
Blanco\506daeac,MF,21,2,0,38,0.4,2021
Peter González\1ccd3dae,MFDF,19,3,0,27,0.3,2021
Mario Gila\9c435456,DF,20,2,0,25,0.3,2021
Sergio Santos\cf59e05f,DF,20,1,0,11,0.1,2021
Latasa\2bea832e,FW,20,1,0,9,0.1,2021
Rafa\3239a8ed,DF,19,0,0,,,2021
Álvaro Odriozola\1d1691ad,DF,25,0,0,,,2021
